French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
parlé,speak
arrivé,come
devrait,should
bébé,baby
pendant,while
aucune,any
place,square
compris,understood
savais,knew
étaient,were
voici,here is
donner,give
type,type
leurs,their
train,train
corps,body
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
côté,side
pouvoir,power
vieux,old
sois,be
enfant,child
point,point
venu,came
venez,come
vers,towards
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
cause,cause
enfin,finally
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
compte,account
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
bureau,office
